subid,jp_id,point,lat,lon,location,location_original,
1054,jp_cite_00199,,,,,,"""POINT(1279939.2041591578 6239379.179002355)"",""POINT(12014.60132015478 6359165.778041243)"",""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8480137.790827159 4872724.679649616)"",""POINT(-9025279.556295188 4943676.947590932)"",""POINT(-9384690.306243086 4802055.196572479)"",""POINT(-8905101.338364959 4930180.7964929445)"",""POINT(-8869231.604692223 5105269.116632737)"",""POINT(-8755184.775258442 5154464.876309341)"",""POINT(2658451.372124075 7394820.259211762)""}"
1055,,POINT(1279939.2041591578 6239379.179002355),48.7904472,11.4978895,Bavaria,,
1056,,POINT(12014.60132015478 6359165.778041243),49.49437,0.107929,"Le Havre, France",,
1057,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadephia, Pennsylvania",,
1058,,POINT(-8480137.790827159 4872724.679649616),40.0466571,-76.1783739,"Lancaster County, Pennsylvania",,
1059,,POINT(-9025279.556295188 4943676.947590932),40.5328331,-81.0754657,"Carroll County, Ohio",,
1060,,POINT(-9384690.306243086 4802055.196572479),39.5589474,-84.3041074,"Franklin, Ohio",,
1061,,POINT(-8905101.338364959 4930180.7964929445),40.4406248,-79.9958864,"Pittsburgh, Pennsylvania",,
1062,,POINT(-8869231.604692223 5105269.116632737),41.6270036,-79.6736631,"Titusville, Pennsylvania",,
1063,,POINT(-8755184.775258442 5154464.876309341),41.9564953,-78.649163,"Bradford, Pennsylvania",,
1064,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,
1065,jp_cite_00200,,,,,,POINT(-10654710.28698895 4451692.554190846)
1066,,POINT(-10654710.28698895 4451692.554190846),37.09024,-95.712891,United States of America,,
1067,jp_cite_00201,,,,,,"""POINT(3107863.7188587743 6066025.463178635)"",""POINT(2779287.009570991 5771245.40362821)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-10026993.827200336 5469478.623001058)"",""POINT(-9971394.739801973 5546828.035699859)"",""POINT(-13217832.17791421 6215380.834170646)""}"
